perch_label_number,common_name,scientific_name
5961,New Zealand Pigeon,Hemiphaga novaeseelandiae
6053,Pallid Cuckoo,Heteroscenes pallidus
6087,Pied Stilt,Himantopus leucocephalus
6089,Black Stilt,Himantopus novaezelandiae
6098,White-throated Needletail,Hirundapus caudacutus
6113,Welcome Swallow,Hirundo neoxena
6175,Leach's Storm-Petrel,Hydrobates leucorhous
6177,Swinhoe's Storm-Petrel,Hydrobates monorhis
6187,Caspian Tern,Hydroprogne caspia
6310,Blue Duck,Hymenolaimus malacorhynchos
6881,Kelp Gull,Larus dominicanus
6892,Pacific Gull,Larus pacificus
7114,New Zealand King Shag,Leucocarbo carunculatus
7123,Laughing Gull,Leucophaeus atricilla
7126,Franklin's Gull,Leucophaeus pipixcan
7170,Asian Dowitcher,Limnodromus semipalmatus
7191,Hudsonian Godwit,Limosa haemastica
7192,Bar-tailed Godwit,Limosa lapponica
7193,Black-tailed Godwit,Limosa limosa
7519,Southern Giant-Petrel,Macronectes giganteus
7520,Northern Giant-Petrel,Macronectes halli
7598,Pink-eared Duck,Malacorhynchus membranaceus
7718,Yellow-eyed Penguin,Megadyptes antipodes
8055,Little Pied Cormorant,Microcarbo melanoleucos
8143,Black Kite,Milvus migrans
8222,Whitehead,Mohoua albicilla
8223,Pipipi,Mohoua novaeseelandiae
8242,Black-faced Monarch,Monarcha melanopsis
8299,Cape Gannet,Morus capensis
8300,Australasian Gannet,Morus serrator
8399,Satin Flycatcher,Myiagra cyanoleuca
8813,New Zealand Kaka,Nestor meridionalis
8814,Kea,Nestor notabilis
8862,Morepork,Ninox novaeseelandiae
8935,Stitchbird,Notiomystis cincta
8944,Far Eastern Curlew,Numenius madagascariensis
8945,Little Curlew,Numenius minutus
8946,Eurasian Whimbrel,Numenius phaeopus
8947,Bristle-thighed Curlew,Numenius tahitiensis
8949,Helmeted Guineafowl,Numida meleagris
8962,Nankeen Night Heron,Nycticorax caledonicus
8998,Wilson's Storm-Petrel,Oceanites oceanicus
9230,Bridled Tern,Onychoprion anaethetus
9231,Sooty Tern,Onychoprion fuscatus
9232,Gray-backed Tern,Onychoprion lunatus
9550,Slender-billed Prion,Pachyptila belcheri
9551,Fulmar Prion,Pachyptila crassirostris
9552,Antarctic Prion,Pachyptila desolata
9553,Fairy Prion,Pachyptila turtur
9554,Broad-billed Prion,Pachyptila vittata
9725,House Sparrow,Passer domesticus
9791,Indian Peafowl,Pavo cristatus
9796,White-faced Storm-Petrel,Pelagodroma marina
9802,South Georgia Diving-Petrel,Pelecanoides georgicus
9804,Common Diving-Petrel,Pelecanoides urinatrix
9805,Australian Pelican,Pelecanus conspicillatus
9892,Gray Partridge,Perdix perdix
9933,Fairy Martin,Petrochelidon ariel
9936,Tree Martin,Petrochelidon nigricans
9947,North Island Robin,Petroica longipes
9948,Tomtit,Petroica macrocephala
9996,White-tailed Tropicbird,Phaethon lepturus
9997,Red-tailed Tropicbird,Phaethon rubricauda
10029,Great Cormorant,Phalacrocorax carbo
10034,Spotted Shag,Phalacrocorax punctatus
10035,Little Black Cormorant,Phalacrocorax sulcirostris
10036,Pied Cormorant,Phalacrocorax varius
10039,Red Phalarope,Phalaropus fulicarius
10040,Red-necked Phalarope,Phalaropus lobatus
10041,Wilson's Phalarope,Phalaropus tricolor
10060,Ring-necked Pheasant,Phasianus colchicus
10111,South Island Saddleback,Philesturnus carunculatus
10112,North Island Saddleback,Philesturnus rufusater
10137,Laysan Albatross,Phoebastria immutabilis
10140,Light-mantled Albatross,Phoebetria palpebrata
10549,Yellow-billed Spoonbill,Platalea flavipes
10552,Royal Spoonbill,Platalea regia
10555,Crimson Rosella,Platycercus elegans
10556,Eastern Rosella,Platycercus eximius
10633,Glossy Ibis,Plegadis falcinellus
10711,American Golden-Plover,Pluvialis dominica
10712,Pacific Golden-Plover,Pluvialis fulva
