common_name,scientific_name,status,Perch_2.0
European Starling,Sturnus vulgaris,Introduced species,Y
Fairy Martin,Petrochelidon ariel,Rare/Accidental,Y
Fairy Prion,Pachyptila turtur,,Y
Fan-tailed Cuckoo,Cacomantis flabelliformis,Rare/Accidental,Y
Far Eastern Curlew,Numenius madagascariensis,Endangered,Y
Fiordland Penguin,Eudyptes pachyrhynchus,Rare/AccidentalÿNear-threatened,Y
Flesh-footed Shearwater,Ardenna carneipes,Near-threatened,Y
Fluttering Shearwater,Puffinus gavia,,Y
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental,Y
Fulmar Prion,Pachyptila crassirostris,Rare/Accidental,Y
Galah,Eolophus roseicapilla,Introduced species,Y
Glossy Ibis,Plegadis falcinellus,Rare/Accidental,Y
Gould's Petrel,Pterodroma leucoptera,Rare/AccidentalÿVulnerable,Y
Gray Gerygone,Gerygone igata,Endemic (country/region),Y
Gray Heron,Ardea cinerea,Rare/Accidental,Y
Gray Noddy,Anous albivitta,Rare/Accidental,
Gray Partridge,Perdix perdix,Introduced species,Y
Gray Petrel,Procellaria cinerea,Rare/AccidentalÿNear-threatened,Y
Gray Teal,Anas gracilis,,Y
Gray-backed Storm-Petrel,Garrodia nereis,Rare/Accidental,
Gray-backed Tern,Onychoprion lunatus,Rare/Accidental,Y
Gray-faced Petrel,Pterodroma gouldi,Breeding endemic,Y
Gray-headed Albatross,Thalassarche chrysostoma,Rare/AccidentalÿEndangered,
Graylag Goose,Anser anser,Introduced species,Y
Gray-tailed Tattler,Tringa brevipes,Rare/Accidental,Y
Great Cormorant,Phalacrocorax carbo,,Y
Great Crested Grebe,Podiceps cristatus,Rare/Accidental,Y
Great Crested Tern,Thalasseus bergii,Rare/Accidental,Y
Great Egret,Ardea alba,,Y
Great Frigatebird,Fregata minor,Rare/Accidental,Y
Great Knot,Calidris tenuirostris,Rare/AccidentalÿEndangered,Y
Great Shearwater,Ardenna gravis,Rare/Accidental,Y
Great Spotted Kiwi,Apteryx maxima,Endemic (country/region)ÿVulnerable,Y
Greater Sand-Plover,Anarhynchus leschenaultii,Rare/Accidental,Y
Gull-billed Tern,Gelochelidon nilotica,Rare/Accidental,Y
Hardhead,Aythya australis,Rare/Accidental,Y
